ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300001.SZ,20241104,21.76,22.76,21.75,22.43,21.76,0.67,3.079,194133.98,435311.192
300002.SZ,20241104,12.25,12.63,12.19,12.48,12.25,0.23,1.8776,600407.49,746118.203
300003.SZ,20241104,11.82,12.03,11.8,12.02,11.82,0.2,1.692,183119.08,218532.11
300004.SZ,20241104,6.81,6.98,6.81,6.92,6.8,0.12,1.7647,196403.82,135480.495
300005.SZ,20241104,8.1,8.42,7.94,8.32,8.12,0.2,2.4631,370833.85,301417.739
300006.SZ,20241104,3.94,4.23,3.94,4.14,3.94,0.2,5.0761,385825.4,159685.548
300007.SZ,20241104,19.23,20.44,18.5,19.62,17.58,2.04,11.6041,628071.73,1225107.739
300008.SZ,20241104,5.3,5.5,5.19,5.5,5.4,0.1,1.8519,1039311.16,559317.957
300009.SZ,20241104,9.08,9.15,9.05,9.13,9.06,0.07,0.7726,201771.28,183596.073
300010.SZ,20241104,12.03,12.3,10.24,10.8,12.8,-2.0,-15.625,3575559.66,3902643.569
300011.SZ,20241104,7.55,7.77,7.53,7.73,7.63,0.1,1.3106,160659.6,123408.002
300012.SZ,20241104,13.7,14.28,13.69,14.11,13.49,0.62,4.596,321968.35,450644.21
300013.SZ,20241104,3.35,3.61,3.35,3.58,3.41,0.17,4.9853,193317.5,67782.947
300014.SZ,20241104,47.52,49.18,46.97,48.14,46.89,1.25,2.6658,313042.05,1505149.429
300015.SZ,20241104,14.18,14.55,14.18,14.46,14.18,0.28,1.9746,973485.22,1396586.995
300016.SZ,20241104,7.1,7.23,7.03,7.12,7.16,-0.04,-0.5587,217006.34,154397.647
300017.SZ,20241104,8.91,9.24,8.91,9.19,8.91,0.28,3.1425,762553.45,696888.45
300018.SZ,20241104,6.32,6.6,6.32,6.59,6.3,0.29,4.6032,153863.27,99969.48
300019.SZ,20241104,13.93,14.25,13.88,14.21,13.94,0.27,1.9369,45611.99,64440.65
300020.SZ,20241104,2.67,2.8,2.63,2.72,2.71,0.01,0.369,551215.51,149949.292
300021.SZ,20241104,4.06,4.1,4.0,4.09,4.04,0.05,1.2376,149230.84,60610.418
300022.SZ,20241104,4.44,4.49,4.4,4.48,4.45,0.03,0.6742,79970.2,35621.864
300024.SZ,20241104,12.95,15.46,12.95,15.46,12.88,2.58,20.0311,1245310.6,1844051.35
300025.SZ,20241104,8.68,8.88,8.63,8.85,8.65,0.2,2.3121,105826.29,92501.212
